漢字,羅馬字,詞性/解說
地皮,tē-phôe/tōe-phê,[名詞] 供建築房屋使用的土地。
安份,an-hūn,[動詞] 安守本分，不超越常規。
好囝,hó-kiáⁿ,[名詞] 潔身自愛，積極進取的孩子。
存在,chûn-chāi,[名詞] 持續占據時間或空間，沒有滅亡的現象。
安宅,an-the̍h,"[動詞] 新居落成或家中不平安時，祭拜天地以求平安。
[名詞] 地名。澎湖縣馬公市地名，舊名「宅跤嶼」(The̍h-kha-sū)。"
好好人,hó-hó-lâng,[熟語] 沒有病痛的人。
好年冬,hó-nî-tang,[名詞] 豐年。指農作物豐收的年頭。
好死,hó-sí,[形容詞] 壽終正寢。形容人享盡天年，在家中自然死亡。
如此,jû-chhú/lû-chhú,[副詞] 這樣。
存死,chhûn-sí,[副詞] 冒死、拚死。準備拚命做某事。
如此如此,jû-chhú-jû-chhú/lû-chhú-lû-chhú,"[熟語] 不過爾爾。不過就是這樣而已。
[熟語] 如此云云，表示就是這樣。"
奸臣,kan-sîn,"[名詞] 私心為己，圖謀非法利益，不顧國家利害關係的臣子。
[名詞] 奸險的人。
[形容詞] 形容人陰險的性格。"
好色,hò͘ⁿ-sek,[形容詞] 指人喜愛、貪戀美色。
地位,tē-ūi/tōe-ūi,[名詞] 人或團體在社會關係中所處的位置。
地址,tē-chí/tōe-chí,[名詞] 住址。居住或通信的地點。
年尾,nî-bóe/nî-bé,[時間詞] 年終、歲未。
年尾囡仔,nî-bóe gín-á/nî-bé gín-á,[名詞] 廣義地指農曆七月到隔年一月(相當於國曆九月到十二月)這段期間出生的孩子。也指舊曆年底出生的孩子。
地形,tē-hêng/tōe-hêng,[名詞] 地表的起伏、形狀、輪廓等特徵。
安床,an-chhn̂g,[動詞] 結婚的時候擇日安置新的床位。
地步,tē-pō͘/tōe-pō͘,[名詞] 情況、境地。
好育飼,hó-io-chhī,[熟語] 指孩子健康，很好養育。
安身,an-sin,[動詞] 有居住的地方，使生活安定。
多事,to-sū,[動詞] 好管閒事。
如來佛祖,Jû-lâi-pu̍t-chó͘/Lû-lâi-pu̍t-chó͘,[名詞] 釋迦牟尼。佛教的創教祖師。
好佳哉,hó-ka-chài,[形容詞] 幸虧、還好。
字典,jī-tián/lī-tián,[名詞] 一種記載如何使用某種特定文字的工具書。以字為單位，按照一定的體例編目和排版，並對文字的形、音、義、用法及來源等等加以解釋。
好奇,hò͘ⁿ-kî,[形容詞] 對於自己所不了解、新奇的事情感到興趣或去探查原由。
年底,nî-té/nî-tóe,[時間詞] 年尾、年終。一年的最後期間。
好性地,hó-sèng-tē/hó-sèng-tōe,[形容詞] 脾氣好、不隨便動怒。
好空,hó-khang,[名詞] 好機會、好事情。
守空房,chiú khang-pâng,[動詞] 獨守空閨。婦女獨居房中，沒有丈夫陪伴在側。
好客,hò͘ⁿ-kheh,[形容詞] 指人的性格上喜愛熱情款待客人。
年度,nî-tō͘,[時間詞] 為處理事務方便而規定的，有一定起訖日期的十二個月。
存後步,chhûn-āu-pō͘,[動詞] 為尚未發生的事情預留後路。
地界,tē-kài/tōe-kài,[名詞] 區域、地盤。
好看,hó-khòaⁿ,"[形容詞] 看起來舒適、美觀。
[形容詞] 體面、光采。
[名詞] 難堪、出醜。這是反諷的用法。"
安胎,an-thai,[動詞] 孕婦有流產跡象時，或請醫生打針開藥，或請道士作法，以求胎兒平安，順利生產。
年紀,nî-kí,[名詞] 年齡。
年限,nî-hān,[名詞] 限定的年數。
安家,an-ka,[動詞] 使家庭安定。
安眠,an-bîn,[動詞] 安穩熟睡。
地租,tē-cho͘/tōe-cho͘,[名詞] 土地稅。政府針對土地所課徵的稅。
好笑神,hó-chhiò-sîn,[形容詞] 形容人神態愉悅，經常面帶笑容。
字紙,jī-chóa/lī-chóa,"[名詞] 廢紙。寫過字的紙。
[名詞] 文書、契約。證明文件、權狀、謄本。"
字紙籠,jī-chóa-láng/lī-chóa-láng,[名詞] 放置廢棄紙張的簍子。
好酒,hó-chiú,[名詞] 醇美的酒。
年兜,nî-tau,[時間詞] 年尾、年跟腳。指年終歲暮將近過年的那幾天。
地動,tē-tāng/tōe-tāng,[動詞] 地震。由於火山爆發或地殼變動而引起地殼震動。
地基,tē-ki/tōe-ki,[名詞] 承受上層建築重量的基礎。
地基主,Tē-ki-chú/Tōe-ki-chú,[名詞] 地祇。指最早期原先居住在這塊土地上的原地主，原地主過世後的靈體則被稱為地基主。是臺灣民間經常祭拜的神明。
好彩頭,hó-chhái-thâu,[名詞] 好預兆。
多情,to-chêng,[形容詞] 富於情感。
安排,an-pâi,[動詞] 對人或事物做有條理地規劃和處理。
地理,tē-lí/tōe-lí,"[名詞] 研究地球上或某一地區的山川、氣候等科學。
[名詞] 風水。"
字眼,jī-gán/lī-gán,[名詞] 指字、詞。
地理師,tē-lí-su/tōe-lí-su,[名詞] 專門幫人看風水的人。
奸細,kan-sè/kan-sòe,[名詞] 為敵方刺探消息的人。
帆船,phâng-chûn,[名詞] 張掛船帆，憑藉風力行駛的船。
存貨,chûn-hòe/chûn-hè,[名詞] 積存的貨品。
好喙,hó-chhùi,"[形容詞] 嘴巴甜。
[動詞] 說好說歹、好言好語。"
好喙斗,hó-chhùi-táu,[形容詞] 形容不挑食，什麼都吃。
尖喙夾仔,chiam-chhùi-ngeh-á,[名詞] 尖嘴鉗。可用來夾取細小東西的工具。
尖喙掘仔,chiam-chhùi-ku̍t-á,[名詞] 十字鎬。用來掘土石的鐵製工具。鍋頭與刀柄呈Ｔ字形，一端尖銳一端扁平，有木製長柄。
安插,an-chhah,[動詞] 安置、安排。人員事務等的安置、安放。
地毯,tē-thán/tōe-thán,[名詞] 鋪在地面上的毯子
好款,hó-khoán,[形容詞] 本義為脾氣好、教養好，現今常用在反諷，意思和「歹款」(pháiⁿ-khoán)相同。
存款,chûn-khoán,[名詞] 存放在金融機構的錢。
好量,hó-liōng,[形容詞] 指人有雅量，氣度寬大。
奸雄,kan-hiông,[形容詞] 奸詐、狡猾。
好勢,hó-sè,"[形容詞] 舒服、舒適。
[副詞] 事情順利推演。
[形容詞] 好意思，常用在反詰的語氣。
[形容詞] 姿勢端正、行事恰當。
[形容詞] 致命。"
好意,hó-ì,[名詞] 美意、善意。
安搭,an-tah,"[動詞] 安頓。
[動詞] 安撫。"
圳溝,chùn-kau,[名詞] 灌溉用的大水溝、大溝渠。
年歲,nî-hòe/nî-hè,[名詞] 年齡、年紀。
守節,siú-chiat,"[動詞] 婦女守寡不改嫁。
[動詞] 不改變原來的節操。"
年節,nî-cheh/nî-choeh,"[名詞] 逢年過節。
[時間詞] 春節前後的日子。"
字號,jī-hō/lī-hō,[名詞] 店名。商店的名號。
安葬,an-chòng,[動詞] 埋葬。把棺材放入墓穴裡，用土掩蓋起來。
地號名,tē-hō-miâ/tōe-hō-miâ,[名詞] 地名。
奸詭,kan-kúi,[形容詞] 奸詐、狡猾、奸險。
好話,hó-ōe,"[名詞] 讚美、好聽的話。
[名詞] 吉祥話。"
庄跤,chng-kha,[名詞] 鄉下。
尖跤幼手,chiam-kha-iù-chhiú,[熟語] 指人手腳細嫩，不適合粗活。
好運,hó-ūn,[形容詞] 運氣好。
字運,jī-ūn/lī-ūn,[名詞] 機運。指人的時機命運。
字劃,jī-oe̍h/lī-oe̍h,[名詞] 筆畫、字畫。指字跡的一筆一畫，皆為組合成字的要件。
守寡,chiú-kóa,[動詞] 婦人於丈夫死後不再改嫁。
安寧,an-lêng,[形容詞] 安詳、寧靜。安定平靜。
守暝,chiú-mê/chiú-mî,[動詞] 守夜。執守整個夜晚。
好漢,hó-hàn,[名詞] 男子漢。勇敢、有志氣、有擔當的男子。
地獄,tē-ga̍k/tōe-ga̍k,[名詞] 宗教上所指人死後亡靈受審判和處罰的地方。引申為充滿黑暗、痛苦的環境。
好鼻獅,hó-phīⁿ-sai,[名詞] 嗅覺靈敏的人。
地價,tē-kè/tōe-kè,[名詞] 土地的價格。
好價,hó-kè,[名詞] 好價格。
安慰,an-ùi,"[動詞] 安撫勸慰。
[形容詞] 心中感到欣慰，沒有遺憾 。"
地盤,tē-pôaⁿ/tōe-pôaⁿ,[名詞] 地頭。用特殊情勢所占據或控制的勢力範圍。
存範,chhûn-pān,"[動詞] 打算做某事。
[動詞] 存心不良的念頭。"
安養,an-ióng,[動詞] 安頓照顧。
字據,jī-kì/lī-kù,[名詞] 用文字寫的書面憑據。
奸險,kan-hiám,[形容詞] 奸詐、陰險。
安靜,an-chēng,[形容詞] 平靜無聲。
地頭,tē-thâu/tōe-thâu,"[名詞] 地方。
[名詞] 地盤。指所占有的地盤或控制的勢力範圍。"
年頭,nî-thâu,[時間詞] 一年的開始。
庄頭,chng-thâu,[名詞] 泛指村落。
好膽,hó-táⁿ,[形容詞] 形容人有勇氣，有時也帶有負面的意味。
多謝,to-siā,[動詞] 謝謝、感謝。
地點,tē-tiám/tōe-tiám,[名詞] 所在的地方。
好禮,hó-lé,[形容詞] 親切有禮，設想周到。
好額,hó-gia̍h,[形容詞] 富裕、富有。
好額人,hó-gia̍h-lâng,[名詞] 有錢人。錢財充裕、生活富足的人。
安穩,an-ún,[形容詞] 平安穩定。
年關,nî-koan,[時間詞] 指舊曆年底。舊俗在舊曆年底要清償所有的帳款，不能再拖欠，讓欠債者覺得好像遭逢關卡一樣，所以稱為「年關」。
安靈,an-lêng,[名詞] 傳統喪葬禮俗中的一項儀式。意指將靈柩落葬之後，把迎回的靈位設於靈桌之上。
尖鑽,chiam-chǹg,"[動詞] 鑽營。指巴結有權勢的人以達目的。
[動詞] 指善於動腦筋想辦法。"
戌,sut,[名詞] 地支的第十一位。
成,chiâⁿ,"[副詞] 約。
[動詞] 成為。"
成,siâⁿ,[量詞] 十分之一或百分之十。
成,sêng,"[動詞] 完成。
[形容詞] 相似。"
托,thuh,"[動詞] 用手掌承舉。
[動詞] 以長形物體為支點或著力點，來頂住、拄著或撐住。"
扛,kng,"[動詞] 兩人以肩膀擔負重物。
[動詞] 抬東西。"
扞,hōaⁿ,"[動詞] 主持、掌管。
[動詞] 用手扶著。"
扣,khau,[量詞] 計算毛線或麵線的計量單位。
扣,khàu,"[動詞] 從原有數目中減除。
[動詞] 拘留禁制。"
扦,chhoaⁿ,"[動詞] 刺。通常用在被細尖物刺入皮膚。
[名詞] 竹子或木頭的尖細小刺，也指形狀相似的東西。"
收,siu,"[動詞] 聚合，納入。
[動詞] 保存，儲藏。
[動詞] 割取成熟的農作物。
[動詞] 整理。
[動詞] 結束，停止。
[動詞] 收回，取回。
[動詞] 取回自己有權取得的東西。
[動詞] 接受、容留。
[動詞] 逮捕。
[動詞] 價購。"
早,chá,"[時間詞] 早上、清晨。
[形容詞] 初始的、以前的。
[形容詞] 不晚、不遲。
[副詞] 事情已經發生一段時間。
[副詞] 比一般時間提前的。"
曲,khiau,"[名詞] 手腳的關節處。
[形容詞] 彎彎的。"
曲,khek,[名詞] 歌的旋律。
有,iú,"[動詞] 表事實或狀況的正面存在，與「無」(bû)相對。
[動詞] 表領屬。"
有,ū,"[動詞] 具備、取得、擁有。
[動詞] 表事實或狀況的存在。與「無」(bô)相對。
[副詞] 曾經。
[助詞] 對存在事實的強調。
[] 動詞後綴，放在某些動詞（如聽、看、食……）之後，做補語，表示動作達到某種效果。
[] 動詞後綴，放在動詞與補語之間，表示達成某種目標。
[副詞] 對性狀的肯定。
[副詞] 表是成癮的行為。
[副詞] 表示耐久或數量多。
[副詞] 用在動詞與賓語間，表示動作有成效。
[連詞] 用在句首，表示假設。
[動詞] 可與「無」搭配，構成問句。"
朱,chu,"[名詞] 紅色。
[名詞] 姓氏。"
次,chhù,"[量詞] 計算事情發生的單位。
[形容詞] 略遜一籌的，稍差的，地位稍低的。
[形容詞] 第二的。"
此,chhú,[代詞] 這，可用以指稱時間以及地方或抽象的情緒。
死,sí,"[動詞] 生命結束，沒有生命跡象。
[副詞] 到達極點。
[副詞] 如死亡一般無知覺的。
[形容詞] 靜止不動的。
[形容詞] 不能或無法改變的。
[形容詞] 行不通的。
[副詞] 形容凶惡，多重疊使用。
[副詞] 表示情況很糟。
[形容詞] 用來罵人。"
死,sú,[動詞] 生命結束，沒有生命跡象。
有一日,ū-chi̍t-ji̍t/ū-chi̍t-li̍t,[副詞] 有一天。
有一無兩,ū-chi̍t-bô-nn̄g,[熟語] 說一不二。形容說話算話，堅定不移。
成人,chiâⁿ-lâng,"[形容詞] 指人成器、像樣。常用於否定句中。
[動詞] 成為成年的人。
[副詞] 約一人高。"
成人,sêng-jîn/sêng-lîn,[名詞] 成年人。
收入,siu-ji̍p/siu-li̍p,[名詞] 收進來的錢財。
有力,ū-la̍t,"[形容詞] 強勁有力量。
[形容詞] 有財力或者權威勢力。"
死人,sí-lâng,"[名詞] 死去的人。
[形容詞] 引申為咒罵語。
[副詞] 置於動詞之後，用來表示「非常……」、「很……」的意思。"
死人面,sí-lâng-bīn,"[名詞] 指人表情惡劣、臉色難看。
[名詞] 指人面無血色。"
死人款,sí-lâng-khoán,[熟語] 死樣子、死相。罵人的話。
有人緣,ū-lâng-iân,[形容詞] 人緣好。和大家相處融洽、關係良好。
收山,siu-soaⁿ,[動詞] 結束。總結，終了。
收工,siu-kang,[動詞] 結束工作。
死亡,sí-bông,[動詞] 喪失生命。
收心,siu-sim,[動詞] 把放縱散漫的心收拾起來，從事嚴肅的事。
收水,siu-chúi,[動詞] 物體內部的水分慢慢消失掉。
早日,chá-ji̍t/chá-li̍t,"[時間詞] 從前。
[時間詞] 提早。比預定的時程早。"
死心,sí-sim,[動詞] 斷絕意念，不再抱任何希望。
成月日,chiâⁿ goe̍h-ji̍t/chiâⁿ ge̍h-li̍t,[時間詞] 個把月、一個月左右。
成功,sêng-kong,[動詞] 指事情有所成就，或達到目標。
收冬,siu-tang,[動詞] 收成。收割農作物。
早冬,chá-tang,[名詞] 臺灣的稻作一年兩收，「早冬」即第一期的稻作。
曲去,khiau--khì,[動詞] 過世、往生。「曲去」屬於較為俚俗的說法。
成本,sêng-pún,[名詞] 製造及銷售一種產品所投下的費用。
成立,sêng-li̍p,[動詞] 建立、創設。
死目,sí-ba̍k,"[形容詞] 眼拙。指人眼力差。
[名詞] 死人眼睛。"
成全,sêng-choân,[動詞] 幫助他人達成心願。
有名,ū-miâ,[形容詞] 很有名聲，為眾人所熟知。
死刑,sí-hêng,[名詞] 將罪犯處死的刑罰。
死囡仔,sí-gín-á,[名詞] 臭小子、死孩子。咒罵小孩的用語。
死囡仔䖙,sí-gín-á-the,[名詞] 仰泳。一種游泳的方式。以使小孩仰躺放進水裡游泳的樣子為名。
死囡仔脯,sí-gín-á-pó͘,[名詞] 死小孩。用來咒罵小孩的用語。
成年,sêng-liân,[動詞] 指人發育到已經成熟的年齡。
早年,chá-nî,[副詞] 指往年、先前。
收成,siu-sêng,"[名詞] 農作物的收割情形。
[名詞] 泛指各種有形無形的成績或成果。"
死肉,sí-bah,[名詞] 沒有神經、失去感覺的肉。
有耳無喙,ū-hīⁿ-bô-chhùi/ū-hī-bô-chhùi,[熟語] 准聽不准說。是一種斥責小孩子在不當場合亂說話的說法。
死坐活食,sí-chē-oa̍h-chia̍h,[熟語] 吃閒飯。比喻只消費而不事生產。
收尾,siu-bóe/siu-bé,[動詞] 收場結尾、結束、善後。
有孝,iú-hàu,[形容詞] 孝順。侍奉父母尊長，克盡人子孝道。
收束,siu-sok,"[動詞] 縮小、縮減。
[動詞] 收口。傷口癒合。"
有身,ū-sin,[動詞] 懷孕。
托兒所,thok-jî-só͘/thok-lî-só͘,[名詞] 一種學齡前兒童的保護教育機構，專門接受委託，代為照顧年幼子女。
有底,ū-té/ū-tóe,"[動詞] 心裡對某件事情非常熟悉而且有保握。
[動詞] 指有基礎或者有祖產等。
[動詞] 牢靠。"
死忠,sí-tiong,[形容詞] 形容人很忠心，至死不變。
死性,sí-sèng,[形容詞] 指物體受外力影響而變形，並因此定型。
扣押,khàu-ah,[動詞] 法院以強制的力量拘留嫌疑犯或扣留證物、贓物。
死板,sí-pán,[形容詞] 古板、刻板。僵化不知變通。
收泔,siu-ám,[動詞] 利用開大火或靜置的方式，將稀飯中的水分減少。
成物,chiâⁿ-mi̍h/chiâⁿ-mn̍gh,"[形容詞] 像樣。
[動詞] 成器。"
有的無的,ū--ê-bô--ê,[熟語] 指那些沒有意義或沒有內容的事情。
有空無榫,ū-khang-bô-sún,[熟語] 器物接合的地方，凸的部分叫「榫」，就是「榫頭」，凹陷的部分叫「空」，就是「榫眼」。有凹進去的榫眼，卻沒有接合的榫頭，用來比喻不合理、不著邊際或沒有結果的事情。
早前,chá-chêng,[副詞] 早先、以前。
收拾,siu-si̍p,[動詞] 將散亂的東西收集整理、整頓好。
死泉,sí-chôaⁿ,"[名詞] 死水。停聚不流通的水，非活水湧出的水泉。
[名詞] 指沒有其他收入，用完了就沒有的錢財。"
死活,sí-oa̍h,[名詞] 生與死。
朱紅,chu-âng,[名詞] 以朱砂(辰砂)做成的顏料所調出來的顏色，最常用於國畫當中。
有限,iú-hān,[形容詞] 有一定的限度，為數不多。
有要緊,ū iàu-kín,[熟語] 對事情嚴重程度的一種慣用說法。
收音機,siu-im-ki,[名詞] 收聽無線電廣播的電器。
成家,sêng-ka,[動詞] 結婚、組織家庭。
扞家,hōaⁿ-ke,[動詞] 主持家務，養家活口。
早起時仔,chá-khí-sî-á,[時間詞] 早上。
有時仔,ū-sî-á,[副詞] 有時候、偶爾。
有時有陣,ū-sî-ū-chūn,"[熟語] 定時、有時間性。
[熟語] 偶爾、非經常性。"
